Rk,Date,Tm,,Opp,P,Time,,Description
1,2022-10-18,NJD,,ANA,2,04:17,EV,Goal by Ondřej Palát assisted by Ryan Graves and Jack Hughes
2,2022-10-18,NJD,,ANA,3,12:49,EV,Goal by Dawson Mercer assisted by Yegor Sharangovich and Jack Hughes
3,2022-10-20,NJD,@,NYI,2,01:35,EV,Goal by Jack Hughes assisted by Damon Severson
4,2022-10-25,NJD,@,DET,1,15:16,EV,Goal by Jack Hughes assisted by Erik Haula and Jesper Bratt
5,2022-10-25,NJD,@,DET,2,00:43,PP,Goal by Jesper Bratt assisted by Jack Hughes and Dougie Hamilton
6,2022-10-28,NJD,,COL,3,02:59,PP,Goal by Jack Hughes assisted by Jesper Bratt and Dougie Hamilton
7,2022-10-30,NJD,,CBJ,2,03:55,EV,Goal by Ryan Graves assisted by Jesper Bratt and Jack Hughes
8,2022-10-30,NJD,,CBJ,3,12:47,EV,Goal by Jesper Bratt assisted by Jack Hughes and Tomáš Tatar
9,2022-11-01,NJD,@,VAN,1,04:36,PP,Goal by Nico Hischier assisted by Jesper Bratt and Jack Hughes
10,2022-11-01,NJD,@,VAN,3,18:58,EV,Goal by Jack Hughes assisted by Tomáš Tatar
11,2022-11-05,NJD,@,CGY,1,04:27,EV,Goal by Nathan Bastian assisted by Jack Hughes and Miles Wood
12,2022-11-05,NJD,@,CGY,OT,02:38,PP,Goal by Fabian Zetterlund assisted by Dougie Hamilton and Jack Hughes
13,2022-11-10,NJD,,OTT,1,04:44,EV,Goal by Tomáš Tatar assisted by Jack Hughes and Jonas Siegenthaler
14,2022-11-10,NJD,,OTT,OT,04:27,PP,Goal by Nico Hischier assisted by Dougie Hamilton and Jack Hughes
15,2022-11-12,NJD,,ARI,1,09:27,EV,Goal by Jack Hughes assisted by Tomáš Tatar and Damon Severson
16,2022-11-15,NJD,@,MTL,2,03:57,PP,Goal by Jack Hughes assisted by Dougie Hamilton and Jesper Bratt
17,2022-11-15,NJD,@,MTL,2,15:29,EV,Goal by Jack Hughes assisted by Dawson Mercer
18,2022-11-15,NJD,@,MTL,3,12:19,EV,Goal by Jesper Bratt assisted by Jack Hughes and Dawson Mercer
19,2022-11-17,NJD,@,TOR,OT,00:57,EV,Goal by Yegor Sharangovich assisted by Jack Hughes
20,2022-11-21,NJD,,EDM,1,02:25,PP,Goal by Jesper Bratt assisted by Nico Hischier and Jack Hughes
21,2022-11-21,NJD,,EDM,2,08:45,EV,Goal by Damon Severson assisted by Jesper Bratt and Jack Hughes
22,2022-11-25,NJD,@,BUF,2,02:00,EV,Goal by Jack Hughes assisted by Dawson Mercer and Erik Haula
23,2022-11-26,NJD,,WSH,2,05:59,EV,Goal by Jack Hughes
24,2022-11-26,NJD,,WSH,2,09:19,EV,Goal by Jack Hughes assisted by Ryan Graves and Dawson Mercer
25,2022-11-26,NJD,,WSH,3,09:51,EV,Goal by Jack Hughes assisted by Erik Haula
26,2022-11-28,NJD,@,NYR,2,05:44,EV,Goal by Jack Hughes assisted by Dawson Mercer
27,2022-12-01,NJD,,NSH,2,01:57,EV,Goal by Kevin Bahl assisted by Jack Hughes and Erik Haula
28,2022-12-01,NJD,,NSH,2,02:30,PP,Goal by Jesper Bratt assisted by Nico Hischier and Jack Hughes
29,2022-12-03,NJD,@,PHI,3,06:56,EV,Goal by Jack Hughes assisted by Erik Haula
30,2022-12-06,NJD,,CHI,1,11:27,EV,Goal by Dougie Hamilton assisted by Jack Hughes
31,2022-12-06,NJD,,CHI,2,14:58,PP,Goal by Jesper Bratt assisted by Jack Hughes and Dougie Hamilton
32,2022-12-09,NJD,,NYI,2,06:03,EV,Goal by Dawson Mercer assisted by Jack Hughes and Ryan Graves
33,2022-12-09,NJD,,NYI,3,13:39,EV,Goal by Jack Hughes assisted by Dougie Hamilton and Jonas Siegenthaler
34,2022-12-12,NJD,@,NYR,2,11:05,EV,Goal by Jack Hughes assisted by Dawson Mercer and Dougie Hamilton
35,2022-12-15,NJD,,PHI,1,04:20,PP,Goal by Jack Hughes assisted by Dougie Hamilton
36,2022-12-17,NJD,,FLA,2,11:27,EV,Goal by John Marino assisted by Jack Hughes and Erik Haula
37,2022-12-20,NJD,@,CAR,3,15:24,EV,Goal by Jack Hughes assisted by Brendan Smith and Jesper Bratt
38,2022-12-21,NJD,@,FLA,1,07:01,PP,Goal by Jesper Bratt assisted by Jack Hughes and Dougie Hamilton
39,2022-12-23,NJD,,BOS,1,16:36,PP,Goal by Jack Hughes assisted by Dougie Hamilton and Nico Hischier
40,2022-12-30,NJD,@,PIT,2,06:18,PP,Goal by Jack Hughes assisted by Dougie Hamilton and Jesper Bratt
41,2022-12-30,NJD,@,PIT,3,19:55,EV,Goal by Jack Hughes assisted by Erik Haula and Dawson Mercer
42,2023-01-01,NJD,,CAR,2,16:18,EV,Goal by Jack Hughes assisted by Dawson Mercer and Erik Haula
43,2023-01-04,NJD,@,DET,2,09:17,PP,Goal by Dougie Hamilton assisted by Jack Hughes and Nico Hischier
44,2023-01-04,NJD,@,DET,3,13:59,EV,Goal by Jack Hughes assisted by Erik Haula and Tomáš Tatar
45,2023-01-05,NJD,,STL,2,03:51,EV,Goal by Jack Hughes assisted by Damon Severson and Erik Haula
46,2023-01-05,NJD,,STL,2,08:47,EV,Goal by Jack Hughes assisted by Tomáš Tatar
47,2023-01-07,NJD,,NYR,2,09:24,EV,Goal by Jack Hughes
48,2023-01-07,NJD,,NYR,3,08:28,PP,Goal by Jesper Bratt assisted by Nico Hischier and Jack Hughes
49,2023-01-07,NJD,,NYR,3,10:32,EV,Goal by Jack Hughes assisted by Dawson Mercer and Ryan Graves
50,2023-01-13,NJD,@,ANA,1,16:15,PP,Goal by Jack Hughes assisted by Dougie Hamilton and Tomáš Tatar
51,2023-01-13,NJD,@,ANA,2,11:59,EV,Goal by Jesper Bratt assisted by Jack Hughes and Damon Severson
52,2023-01-13,NJD,@,ANA,3,15:39,EV,Goal by Jack Hughes assisted by Yegor Sharangovich
53,2023-01-14,NJD,@,LAK,1,12:51,PP,Goal by Tomáš Tatar assisted by Nico Hischier and Jack Hughes
54,2023-01-14,NJD,@,LAK,2,07:40,EV,Goal by Nikita Okhotyuk assisted by Ondřej Palát and Jack Hughes
55,2023-01-16,NJD,@,SJS,3,19:50,EV,Goal by Jack Hughes assisted by Dougie Hamilton and Jesper Bratt
56,2023-01-19,NJD,@,SEA,3,18:46,EV,Goal by Nico Hischier assisted by Jack Hughes and Ondřej Palát
57,2023-01-22,NJD,,PIT,1,00:56,EV,Goal by Jack Hughes assisted by Dougie Hamilton
58,2023-01-22,NJD,,PIT,OT,02:07,PP,Goal by Dougie Hamilton assisted by Jack Hughes and Nico Hischier
59,2023-01-24,NJD,,VEG,3,18:50,EV,Goal by Dougie Hamilton assisted by Jesper Bratt and Jack Hughes
60,2023-01-24,NJD,,VEG,OT,03:54,PP,Goal by Dougie Hamilton assisted by Jack Hughes and Vítek Vaněček
61,2023-01-26,NJD,@,NSH,1,15:57,EV,Goal by Yegor Sharangovich assisted by Jack Hughes
62,2023-01-26,NJD,@,NSH,2,04:06,EV,Goal by Jack Hughes assisted by Fabian Zetterlund and Dougie Hamilton
63,2023-01-27,NJD,@,DAL,2,01:05,EV,Goal by Jack Hughes assisted by Dougie Hamilton
64,2023-01-27,NJD,@,DAL,OT,00:20,EV,Goal by Jack Hughes assisted by Jesper Bratt
65,2023-02-06,NJD,,VAN,1,17:48,EV,Goal by Jack Hughes assisted by Fabian Zetterlund and Dougie Hamilton
66,2023-02-06,NJD,,VAN,2,10:17,EV,Goal by Jack Hughes assisted by Fabian Zetterlund and Damon Severson
67,2023-02-06,NJD,,VAN,OT,04:18,PP,Goal by Jesper Bratt assisted by Jack Hughes and Dougie Hamilton
68,2023-02-18,NJD,@,PIT,2,03:47,PP,Goal by Dougie Hamilton assisted by Nico Hischier and Jack Hughes
69,2023-02-18,NJD,@,PIT,3,08:39,EV,Goal by Jesper Bratt assisted by Jack Hughes and Yegor Sharangovich
70,2023-02-21,NJD,,MTL,1,13:48,EV,Goal by Jesper Bratt assisted by Jack Hughes
71,2023-02-21,NJD,,MTL,3,11:58,PP,Goal by Dawson Mercer assisted by Miles Wood and Jack Hughes
72,2023-02-23,NJD,,LAK,3,19:21,EV,Goal by Nico Hischier assisted by Jack Hughes and Dougie Hamilton
73,2023-02-25,NJD,,PHI,2,08:35,EV,Goal by Jack Hughes assisted by Jonas Siegenthaler
74,2023-02-25,NJD,,PHI,3,13:49,EV,Goal by Jesper Bratt assisted by Jack Hughes and Yegor Sharangovich
75,2023-03-03,NJD,@,VEG,1,15:16,PP,Goal by Jesper Bratt assisted by Jack Hughes and Dougie Hamilton
76,2023-03-05,NJD,@,ARI,1,09:09,EV,Goal by Timo Meier assisted by Dougie Hamilton and Jack Hughes
77,2023-03-12,NJD,,CAR,1,06:44,EV,Goal by Jack Hughes
78,2023-03-12,NJD,,CAR,1,08:47,EV,Goal by Jesper Bratt assisted by Jack Hughes and Dougie Hamilton
79,2023-03-12,NJD,,CAR,2,04:31,EV,Goal by Jesper Bratt assisted by Jack Hughes
80,2023-03-14,NJD,,TBL,1,05:55,EV,Goal by Damon Severson assisted by Timo Meier and Jack Hughes
81,2023-03-16,NJD,,TBL,3,17:44,PP,Goal by Timo Meier assisted by Dougie Hamilton and Jack Hughes
82,2023-03-24,NJD,@,BUF,1,18:46,EV,Goal by Kevin Bahl assisted by Jack Hughes and Damon Severson
83,2023-03-24,NJD,@,BUF,3,05:20,EV,Goal by Jack Hughes assisted by Jesper Bratt and Kevin Bahl
84,2023-03-24,NJD,@,BUF,3,09:33,PP,Goal by Jack Hughes assisted by Nico Hischier and Dougie Hamilton
85,2023-03-25,NJD,,OTT,1,10:21,PP,Goal by Jack Hughes
86,2023-03-25,NJD,,OTT,3,03:34,EV,Goal by Dougie Hamilton assisted by Jack Hughes and Ondřej Palát
87,2023-03-30,NJD,,NYR,1,17:03,PP,Goal by Timo Meier assisted by Jack Hughes and Nico Hischier
88,2023-04-01,NJD,@,CHI,2,06:19,EV,Goal by Dougie Hamilton assisted by Ondřej Palát and Jack Hughes
89,2023-04-01,NJD,@,CHI,2,18:28,EV,Goal by Jesper Boqvist assisted by Jack Hughes and Jesper Bratt
90,2023-04-02,NJD,@,WPG,3,19:46,PP,Goal by Nico Hischier assisted by Jack Hughes and Jesper Bratt
91,2023-04-04,NJD,,PIT,2,02:54,PP,Goal by Timo Meier assisted by Jack Hughes and Dougie Hamilton
92,2023-04-06,NJD,,CBJ,1,11:35,EV,Goal by Jack Hughes
93,2023-04-06,NJD,,CBJ,2,02:20,PP,Goal by Jack Hughes assisted by Timo Meier and Nico Hischier
94,2023-04-06,NJD,,CBJ,2,16:16,PP,Goal by Timo Meier assisted by Jack Hughes and Jesper Bratt
95,2023-04-06,NJD,,CBJ,3,04:40,EV,Goal by Timo Meier assisted by John Marino and Jack Hughes
96,2023-04-08,NJD,@,BOS,1,06:21,EV,Goal by Jesper Bratt assisted by Jack Hughes and Ondřej Palát
97,2023-04-11,NJD,,BUF,3,18:15,EV,Goal by Jack Hughes assisted by Jesper Bratt and Vítek Vaněček
98,2023-04-13,NJD,@,WSH,3,03:17,EV,Goal by Erik Haula assisted by Jesper Bratt and Jack Hughes
99,2023-04-13,NJD,@,WSH,OT,04:33,EV,Goal by Luke Hughes assisted by Jack Hughes and Nico Hischier