ABV,Team,ID
ANA,Anaheim Ducks,1
ARI,Arizona Coyotes,2
BOS,Boston Bruins,3
BUF,Buffalo Sabres,4
CGY,Calgary Flames,5
CAR,Carolina Hurricanes,6
CHI,Chicago Blackhawks,7
COL,Colorado Avalanche,8
CBJ,Columbus Blue Jackets,9
DAL,Dallas Stars,10
DET,Detroit Red Wings,11
EDM,Edmonton Oilers,12
FLA,Florida Panthers,13
LAK,Los Angeles Kings,14
MIN,Minnesota Wild,15
MTL,Montreal Canadiens,16
NSH,Nashville Predators,17
NJD,New Jersey Devils,18
NYI,New York Islanders,19
NYR,New York Rangers,20
OTT,Ottawa Senators,21
PHI,Philadelphia Flyers,22
PIT,Pittsburgh Penguins,23
SJS,San Jose Sharks,24
SEA,Seattle Kraken,25
STL,St. Louis Blues,26
TBL,Tampa Bay Lightning,27
TOR,Toronto Maple Leafs,28
VAN,Vancouver Canucks,29
VEG,Vegas Golden Knights,30
WSH,Washington Capitals,31
WPG,Winnipeg Jets,32